标记,站名,网关序号,设备序号,点名,点描述,类型,报警值
alarm,屯留宾馆,2-30002-001824-00278,2-30002-001824-00278.tunliu_delta_byc.1,D15,实时二回压,AI,0.15
alarm,屯留宾馆,2-30002-001824-00278,2-30002-001824-00278.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,屯留宾馆,2-30002-001824-00278,2-30002-001824-00278.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,屯留宾馆,2-30002-001824-00278,2-30002-001824-00278.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,屯留宾馆,2-30002-001824-00278,2-30002-001824-00278.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,县政府,2-30002-001824-00651,2-30002-001824-00651.tunliu_delta_byc.1,D15,实时二回压,AI,0.15
alarm,县政府,2-30002-001824-00651,2-30002-001824-00651.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,县政府,2-30002-001824-00651,2-30002-001824-00651.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,县政府,2-30002-001824-00651,2-30002-001824-00651.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,县政府,2-30002-001824-00651,2-30002-001824-00651.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,中医院中区散热器,2-30002-001824-00447,2-30002-001824-00447.tunliu_delta_byc.1,D15,实时二回压,AI,0.25
alarm,中医院中区散热器,2-30002-001824-00447,2-30002-001824-00447.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,中医院中区散热器,2-30002-001824-00447,2-30002-001824-00447.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,中医院中区散热器,2-30002-001824-00447,2-30002-001824-00447.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,中医院中区散热器,2-30002-001824-00447,2-30002-001824-00447.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,中医院地暖高区,2-30002-001824-00054,2-30002-001824-00054.tunliu_delta_byc.1,D15,实时二回压,AI,0.6
alarm,中医院地暖高区,2-30002-001824-00054,2-30002-001824-00054.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,中医院地暖高区,2-30002-001824-00054,2-30002-001824-00054.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,中医院地暖高区,2-30002-001824-00054,2-30002-001824-00054.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,中医院地暖高区,2-30002-001824-00054,2-30002-001824-00054.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,中医院地暖低区,2-30002-001824-00915,2-30002-001824-00915.tunliu_delta_byc.1,D15,实时二回压,AI,0.3
alarm,中医院地暖低区,2-30002-001824-00916,2-30002-001824-00916.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,中医院地暖低区,2-30002-001824-00917,2-30002-001824-00917.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,中医院地暖低区,2-30002-001824-00918,2-30002-001824-00918.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,中医院地暖低区,2-30002-001824-00919,2-30002-001824-00919.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,世纪大厦高区,2-30002-001824-00922,2-30002-001824-00922.tunliu_delta_byc.1,D15,实时二回压,AI,0.7
alarm,世纪大厦高区,2-30002-001824-00922,2-30002-001824-00922.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,世纪大厦高区,2-30002-001824-00922,2-30002-001824-00922.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,世纪大厦高区,2-30002-001824-00922,2-30002-001824-00922.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,世纪大厦高区,2-30002-001824-00922,2-30002-001824-00922.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,世纪大厦低区,2-30002-001824-00063,2-30002-001824-00063.tunliu_delta_byc.1,D15,实时二回压,AI,0.4
alarm,世纪大厦低区,2-30002-001824-00063,2-30002-001824-00063.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,世纪大厦低区,2-30002-001824-00063,2-30002-001824-00063.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,世纪大厦低区,2-30002-001824-00063,2-30002-001824-00063.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,世纪大厦低区,2-30002-001824-00063,2-30002-001824-00063.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,金汇中央高区,2-30002-001824-00552,2-30002-001824-00552.tunliu_delta_byc.1,D15,实时二回压,AI,0.7
alarm,金汇中央高区,2-30002-001824-00552,2-30002-001824-00552.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,金汇中央高区,2-30002-001824-00552,2-30002-001824-00552.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,金汇中央高区,2-30002-001824-00552,2-30002-001824-00552.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,金汇中央高区,2-30002-001824-00552,2-30002-001824-00552.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,金汇中央低区,2-30002-001824-00792,2-30002-001824-00792.tunliu_delta_byc.1,D15,实时二回压,AI,0.4
alarm,金汇中央低区,2-30002-001824-00792,2-30002-001824-00792.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,金汇中央低区,2-30002-001824-00792,2-30002-001824-00792.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,金汇中央低区,2-30002-001824-00792,2-30002-001824-00792.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,金汇中央低区,2-30002-001824-00792,2-30002-001824-00792.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,锦绣东城高区,2-30002-001824-00162,2-30002-001824-00162.tunliu_delta_byc.1,D15,实时二回压,AI,0.5
alarm,锦绣东城高区,2-30002-001824-00162,2-30002-001824-00162.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,锦绣东城高区,2-30002-001824-00162,2-30002-001824-00162.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,锦绣东城高区,2-30002-001824-00162,2-30002-001824-00162.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,锦绣东城高区,2-30002-001824-00162,2-30002-001824-00162.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,锦绣东城低区,2-30002-001824-00955,2-30002-001824-00955.tunliu_delta_byc.1,D15,实时二回压,AI,0.4
alarm,锦绣东城低区,2-30002-001824-00955,2-30002-001824-00955.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,锦绣东城低区,2-30002-001824-00955,2-30002-001824-00955.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,锦绣东城低区,2-30002-001824-00955,2-30002-001824-00955.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,锦绣东城低区,2-30002-001824-00955,2-30002-001824-00955.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,时代星座高区,2-30002-001824-00446,2-30002-001824-00446.tunliu_delta_byc.1,D15,实时二回压,AI,0.6
alarm,时代星座高区,2-30002-001824-00446,2-30002-001824-00446.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,时代星座高区,2-30002-001824-00446,2-30002-001824-00446.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,时代星座高区,2-30002-001824-00446,2-30002-001824-00446.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,时代星座高区,2-30002-001824-00446,2-30002-001824-00446.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,时代星座低区,2-30002-001824-00647,2-30002-001824-00647.tunliu_delta_byc.1,D15,实时二回压,AI,0.35
alarm,时代星座低区,2-30002-001824-00647,2-30002-001824-00647.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,时代星座低区,2-30002-001824-00647,2-30002-001824-00647.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,时代星座低区,2-30002-001824-00647,2-30002-001824-00647.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,时代星座低区,2-30002-001824-00647,2-30002-001824-00647.tunliu_delta_ccd.1,Y23,报警指示,DI,1
alarm,煤运公司,2-30002-001824-00176,2-30002-001824-00176.tunliu_delta_byc.1,D15,实时二回压,AI,0.15
alarm,煤运公司,2-30002-001824-00176,2-30002-001824-00176.tunliu_delta_ccd.1,D3161,水箱液位,AI,500
alarm,煤运公司,2-30002-001824-00176,2-30002-001824-00176.tunliu_delta_ccd.1,M103,循环泵变频故障,DI,1
alarm,煤运公司,2-30002-001824-00176,2-30002-001824-00176.tunliu_delta_ccd.1,M121,补水泵变频故障,DI,1
alarm,煤运公司,2-30002-001824-00176,2-30002-001824-00176.tunliu_delta_ccd.1,Y23,报警指示,DI,1
