﻿COMMENT,name,description,unit,data type,property,value type,FC,start addr,rate
INPUT,M270,有无亏热功能,,int16,RO,int16,2,2318,1
INPUT,M500,有无定时,,int16,RO,int16,2,2548,1
INPUT,M580,六日定时状态,,int16,RO,int16,2,2628,1
INPUT,M581,工日定时状态,,int16,RO,int16,2,2629,1
INPUT,M65,有无热量计算,,int16,RO,int16,2,2113,1
INPUT,M700,位备用1,,int16,RW,int16,2,2748,1
INPUT,M701,位备用2,,int16,RW,int16,2,2749,1
INPUT,M702,位备用3,,int16,RW,int16,2,2750,1
INPUT,D3,试验参数5,,int16,RO,int16,3,4099,1
INPUT,D4,每天耗热量,GJ,int16,RO,float,3,4100,0.1
INPUT,D5,每度日耗热量,GJ/℃d,int16,RO,float,3,4101,0.1
INPUT,D6,每度日面积耗热量,GJ/℃dS,int16,RO,float,3,4102,0.01
INPUT,D7,前天耗热量,GJ/℃d,int16,RO,float,3,4103,0.1
INPUT,D8,计算前天耗热量,,int16,RO,int16,3,4104,1
INPUT,D9,累计热量低位,,uint16,RO,uint16,3,4105,1
INPUT,D10,累计热量高位,,int16,RO,int16,3,4106,1
INPUT,D11,实时外温,℃,int16,RO,float,3,4107,0.1
INPUT,D12,换热器一次供压,m,int16,RO,float,3,4108,0.1
INPUT,D13,换热器一次回压,m,int16,RO,float,3,4109,0.1
INPUT,D14,实时二供压,m,int16,RO,float,3,4110,0.1
INPUT,D15,实时二回压,m,uint16,RO,float,3,4111,0.1
INPUT,D16,实际换热器一侧供温,℃,int16,RO,float,3,4112,0.1
INPUT,D17,实际换热器一侧回温,℃,int16,RO,float,3,4113,0.1
INPUT,D18,实际二供温,℃,uint16,RO,float,3,4114,0.1
INPUT,D19,实际二回温,℃,int16,RO,float,3,4115,0.1
INPUT,D22,实际换热器一侧压差,,int16,RO,int16,3,4118,1
INPUT,D23,实际二温差,,uint16,RO,uint16,3,4119,1
INPUT,D24,实际二平温,℃,int16,RO,float,3,4120,0.1
INPUT,D25,实时二压差,m,int16,RO,float,3,4121,0.1
INPUT,D30,试验参数10,℃,int16,RO,float,3,4126,0.1
INPUT,D38,计算二供温,,int16,RO,int16,3,4134,1
INPUT,D39,计算二回温,,int16,RO,int16,3,4135,1
INPUT,D42,计算换热器一侧压差,,int16,RO,int16,3,4138,1
INPUT,D43,计算二温差,,int16,RO,int16,3,4139,1
INPUT,D44,计算二平温,,int16,RO,int16,3,4140,1
INPUT,D45,计算二压差,m,int16,RO,float,3,4141,0.1
INPUT,D46,计算二网流量,%,int16,RO,float,3,4142,0.01
INPUT,D47,瞬时室温,℃,int16,RO,float,3,4143,0.1
INPUT,D49,循环泵计算频率,HZ,int16,RO,float,3,4145,0.1
INPUT,D50,热负荷,%,int16,RO,float,3,4146,0.01
INPUT,D51,周期外温,℃,int16,RO,float,3,4147,0.1
INPUT,D52,周期实时换热器一侧供压,,int16,RO,int16,3,4148,1
INPUT,D53,周期实时换热器一侧回压,,int16,RO,int16,3,4149,1
INPUT,D54,周期实时二供压,,int16,RO,int16,3,4150,1
INPUT,D55,周期实时二回压,,int16,RO,int16,3,4151,1
INPUT,D56,周期实时换热器一侧供温,,int16,RO,int16,3,4152,1
INPUT,D57,周期实时换热器一侧回温,,int16,RO,int16,3,4153,1
INPUT,D58,周期实时二供温,℃,int16,RO,float,3,4154,0.1
INPUT,D59,周期实时二回温,℃,int16,RO,float,3,4155,0.1
INPUT,D62,周期实时换热器一侧压差,,int16,RO,int16,3,4158,1
INPUT,D63,周期实时二温差,,int16,RO,int16,3,4159,1
INPUT,D64,周期实时二平温,℃,int16,RO,float,3,4160,0.1
INPUT,D65,周期实时二压差,,int16,RO,int16,3,4161,1
INPUT,D66,合并外温,℃,int16,RO,float,3,4162,0.1
INPUT,D68,周期计算压差平均,,int16,RO,int16,3,4164,1
INPUT,D69,周期循环泵输出频率,,int16,RO,int16,3,4165,1
INPUT,D71,周期的周期外温,,int16,RO,int16,3,4167,1
INPUT,D78,周期计算二供温,,int16,RO,int16,3,4174,1
