﻿COMMENT,name,description,unit,data type,property,value type,FC,start addr,rate
INPUT,D3150,一网供水温度,℃,int16,RO,float,3,7246,0.1
INPUT,D3151,一网回水温度,℃,int16,RO,float,3,7247,0.1
INPUT,D3152,二网供水温度,℃,int16,RO,float,3,7248,0.1
INPUT,D3153,二网回水温度,℃,int16,RO,float,3,7249,0.1
INPUT,D3156,一网供水压力,Mpa,int16,RO,float,3,7252,0.001
INPUT,D3157,一网回水压力,Mpa,int16,RO,float,3,7253,0.001
INPUT,D3158,二网供水压力,Mpa,int16,RO,float,3,7254,0.001
INPUT,D3159,二网回水压力,Mpa,int16,RO,float,3,7255,0.001
INPUT,D3160,室外温度,℃,int16,RO,float,3,7256,0.1
INPUT,D3161,水箱液位,mm,int16,RO,int16,3,7257,1
INPUT,D3162,循环反馈频率,HZ,int16,RO,float,3,7258,0.1
INPUT,D3163,循环反馈电流,mm,int16,RO,int16,3,7259,1
INPUT,D3164,补水反馈频率,HZ,int16,RO,float,3,7260,0.1
INPUT,D3165,反馈开度,%,int16,RO,float,3,7261,0.1
INPUT,D1512,一网累计热量低位,GJ,uint16,RO,uint16,3,5608,1
INPUT,D1513,一网累计热量高位,GJ,int16,RO,int16,3,5609,1
INPUT,D1514,一网瞬时热量,GJ/h,int16,RO,float,3,5610,0.1
INPUT,D1515,一网瞬时流量,m3/h,int16,RO,float,3,5611,0.1
INPUT,D1516,热量计供水温度,℃,int16,RO,int16,3,5612,1
INPUT,D1517,热量计回水温度,℃,int16,RO,int16,3,5613,1
INPUT,D1518,补水流量低位,m3/h,uint16,RO,uint16,3,5614,1
INPUT,D1519,补水流量高位,m3/h,int16,RO,int16,3,5615,1
INPUT,D1520,补水瞬时流量,m3,int16,RO,float,3,5616,0.1
INPUT,D1521,电量低位,KW.h,uint16,RO,uint16,3,5617,1
INPUT,D1522,电量高位,KW.h,int16,RO,int16,3,5618,1
INPUT,D1523,瞬时电量,KW,int16,RO,float,3,5619,0.1
INPUT,D1524,二网流量低位,m3/h,uint16,RO,uint16,3,5620,1
INPUT,D1525,二网流量高位,m3/h,int16,RO,int16,3,5621,1
INPUT,D3302,ZT一网手动要写入的数据,%,int16,RW,int16,3,7398,1
INPUT,D3304,ZT二网手动要写入的数据,HZ,int16,RW,int16,3,7400,1
INPUT,D3250,液位上限,mm,int16,RW,int16,3,7346,1
INPUT,D3251,液位下限,mm,int16,RW,int16,3,7347,1
INPUT,D3252,泄水压力上限,Mpa,int16,RW,int16,3,7348,1
INPUT,D3253,泄水压力下限,Mpa,int16,RW,int16,3,7349,1
INPUT,D3254,补水压力上限设定,Mpa,int16,RW,int16,3,7350,1
INPUT,D3255,补水压力下限设定,Mpa,int16,RW,int16,3,7351,1
INPUT,D3256,液位极限值,mm,int16,RW,int16,3,7352,1
INPUT,D3257,回水压力极限值,Mpa,int16,RW,int16,3,7353,1
INPUT,D140,上位机发送室外温度,℃,int16,RW,int16,3,4236,1
INPUT,M100,1#循环泵变频运行,,int16,RO,int16,2,2148,1
INPUT,M101,2#循环泵变频运行,,int16,RO,int16,2,2149,1
INPUT,M102,循环泵变频运行,,int16,RO,int16,2,2150,1
INPUT,M103,循环泵变频故障,,int16,RO,int16,2,2151,1
INPUT,M106,循环泵远控信号,,int16,RO,int16,2,2154,1
INPUT,M107,补水泵远控信号,,int16,RO,int16,2,2155,1
INPUT,M120,补水泵变频运行,,int16,RO,int16,2,2168,1
INPUT,M121,补水泵变频故障,,int16,RO,int16,2,2169,1
INPUT,M122,1#补水泵变频运行,,int16,RO,int16,2,2170,1
INPUT,M123,2#补水泵变频运行,,int16,RO,int16,2,2171,1
INPUT,M124,1#补水泵工频运行,,int16,RO,int16,2,2172,1
INPUT,M125,2#补水泵工频运行,,int16,RO,int16,2,2173,1
INPUT,M126,排污泵运行信号,,int16,RO,int16,2,2174,1
INPUT,Y0,1#循环泵启停,,int16,RO,int16,2,1280,1
INPUT,Y1,2#循环泵启停,,int16,RO,int16,2,1281,1
INPUT,Y2,进水阀启停,,int16,RO,int16,2,1282,1
INPUT,Y3,泄水发启停,,int16,RO,int16,2,1283,1
INPUT,Y20,排污泵启停,,int16,RO,int16,2,1296,1
INPUT,Y21,1#补水泵启停,,int16,RO,int16,2,1297,1
INPUT,Y22,2#补水泵启停,,int16,RO,int16,2,1298,1
INPUT,Y23,报警指示,,int16,RO,int16,2,1299,1
INPUT,M512,触屏/组态切换,,int16,RO,int16,2,2560,1
INPUT,M513,ZT手动/变压差切换,,int16,RW,int16,2,2561,1
INPUT,M515,ZT进水阀手自动切换,,int16,RW,int16,2,2563,1
INPUT,M517,ZT泄水阀手自动切换,,int16,RW,int16,2,2565,1
INPUT,M519,ZT补水泵手/自动切换,,int16,RW,int16,2,2567,1
INPUT,M521,ZT1#循环泵启/停,,int16,RW,int16,2,2569,1
INPUT,M523,ZT2#循环泵启/停,,int16,RW,int16,2,2571,1
INPUT,M527,ZT1#补水泵启/停,,int16,RW,int16,2,2575,1
INPUT,M529,ZT2#补水泵启/停,,int16,RW,int16,2,2577,1
INPUT,M164,ZT进水阀启/停,,int16,RW,int16,2,2212,1
INPUT,M166,ZT泄水阀启/停,,int16,RW,int16,2,2214,1
